Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bent Over Row (Barbell)",4,135.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bent Over Row (Barbell)",5,145.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bent Over Row (Barbell)",6,155.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bench Press (Barbell)",1,125.0,6,0,0,"",,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bench Press (Barbell)",2,135.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bench Press (Barbell)",3,135.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bench Press (Barbell)",4,135.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bench Press (Barbell)",5,135.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Front Squat (Barbell)",1,135.0,6,0,0,"",,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Front Squat (Barbell)",2,135.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Front Squat (Barbell)",3,145.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Front Squat (Barbell)",4,155.0,6,0,0,,,
2021-10-12 19:31:47,"Climbing",1h 25m,"Rock Climbing",1,0,0,0,70,"","",
2021-10-12 19:31:47,"Climbing",1h 25m,"Pull Up",1,0,11,0,0,"",,
2021-10-12 19:31:47,"Climbing",1h 25m,"Pull Up",2,0,5,0,0,,,
2021-10-12 19:31:47,"Climbing",1h 25m,"Pull Up",3,0,3,0,0,,,
2021-10-12 19:31:47,"Climbing",1h 25m,"Pull Up",4,0,3,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Overhead Press (Barbell)",1,85.0,6,0,0,"","",
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Overhead Press (Barbell)",2,95.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Overhead Press (Barbell)",3,105.0,3,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Overhead Press (Barbell)",4,95.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Overhead Press (Barbell)",5,95.0,5,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Overhead Press (Barbell)",6,95.0,2,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Bench Press (Barbell)",1,125.0,6,0,0,"",,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Bench Press (Barbell)",2,135.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Bench Press (Barbell)",3,135.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Bench Press (Barbell)",4,135.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Bench Press (Barbell)",5,135.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Deadlift (Barbell)",1,165.0,6,0,0,"",,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Deadlift (Barbell)",2,175.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Deadlift (Barbell)",3,185.00000000000003,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Deadlift (Barbell)",4,195.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Deadlift (Barbell)",5,205.0,6,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Crunch",1,20.0,12,0,0,"",,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Crunch",2,20.0,12,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Crunch",3,20.0,12,0,0,,,
2021-10-13 20:46:16,"Deadlift Day",1h 33m,"Crunch",4,20.0,12,0,0,,,
2021-10-14 19:56:20,"Climbing",1h 55m,"Rock Climbing",1,0,0,0,95,"","",
2021-10-14 19:56:20,"Climbing",1h 55m,"Pull Up",1,0,10,0,0,"",,
2021-10-14 19:56:20,"Climbing",1h 55m,"Pull Up",2,0,5,0,0,,,
2021-10-14 19:56:20,"Climbing",1h 55m,"Pull Up",3,0,4,0,0,,,
2021-10-14 19:56:20,"Climbing",1h 55m,"Pull Up",4,0,3,0,0,,,
2021-10-14 19:56:20,"Climbing",1h 55m,"Pull Up",5,0,2,0,0,,,
2021-10-16 10:29:47,"Climbing",2h 12m,"Rock Climbing",1,0,0,0,110,"","",
2021-10-16 10:29:47,"Climbing",2h 12m,"Pull Up",1,0,10,0,0,"",,
2021-10-16 10:29:47,"Climbing",2h 12m,"Pull Up",2,0,5,0,0,,,
2021-10-16 10:29:47,"Climbing",2h 12m,"Pull Up",3,0,4,0,0,,,
2021-10-16 10:29:47,"Climbing",2h 12m,"Pull Up",4,0,3,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Bench Press (Barbell)",1,135.0,6,0,0,"","",
2021-10-16 13:58:00,"Midday Workout",50m,"Bench Press (Barbell)",2,145.0,6,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Bench Press (Barbell)",3,145.0,6,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Bench Press (Barbell)",4,145.0,6,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Bench Press (Barbell)",5,145.0,3,0,0,,,
2021-10-16 13:58:00,"Midday Workout",50m,"Bench Press (Barbell)",6,135.0,2,0,0,,,
